,canonical_smiles
1802,CC(N)C(O)c1ccc(O)c(O)c1
1823,NC(Cc1ccccc1)C(=O)O
1827,NC(Cc1ccc(O)cc1)C(=O)O
1835,NCc1ccc(S(N)(=O)=O)cc1
1840,CC(NN)c1ccccc1
1848,CNC(C)(C)Cc1ccccc1
1851,Nc1ccc(O)c(C(=O)O)c1
1852,COc1cc(CCN)cc(OC)c1OC
1862,CC(N)(Cc1ccc(O)c(O)c1)C(=O)O
1895,CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1
1935,C#CCN(C)Cc1ccccc1
1949,NC(N)=NC(N)=NCCc1ccccc1
1953,CC(COc1ccccc1)NN
1955,CNCC(O)c1cccc(O)c1
1970,C=Cc1ccc(S(=O)(=O)O)cc1
1973,CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1
1987,CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1
2031,CC(=O)NC(CCSC(=O)C(C)(C)Oc1ccc(Cl)cc1)C(=O)O
2052,NC(=O)NS(=O)(=O)c1ccc(N)cc1
2070,CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1
2091,CC(O)=C(C#N)C(=O)Nc1ccc(C(F)(F)F)cc1
2097,CS(=O)(=O)c1ccc(C(O)C(CO)NC(=O)C(Cl)Cl)cc1
2167,Cc1ccccc1
2171,COc1ccccc1O
2172,Oc1ccc(Cl)cc1
2200,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O
2257,COc1cc(C)c(/C=C/C(C)=C/C=C/C(C)=C/C(=O)O)c(C)c1C
2351,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
2363,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
2380,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O
2402,CCN(CC)C(=O)/C(C#N)=C/c1cc(O)c(O)c([N+](=O)[O-])c1
2419,CCCCCCCCCCCCCCCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc([N+](=O)[O-])cc1
2420,Nc1ccc(C(=O)O)c(O)c1
2450,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
2454,NCC(O)c1ccc(O)c(O)c1
2463,CC(C)(N)Cc1ccccc1
2474,COCCc1ccc(OCC(O)CNC(C)C)cc1
2489,CC(C)NCC(O)c1ccc(O)c(O)c1
2507,Nc1ccc(C(=O)O)cc1
2509,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1
2510,CCCCCCc1ccc(O)cc1O
2514,COc1ccc(OC)c(C(O)CNC(=O)CN)c1
2518,NC(=O)c1ccccc1O
2529,C#CCN(C)C(C)Cc1ccccc1
2539,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
2540,CCN(CC)CCOc1cccc(OCCN(CC)CC)c1OCCN(CC)CC
2562,O=Cc1ccc(O)c(O)c1
2563,CC=Cc1ccc(OC)cc1
2564,O=C(O)c1ccc(O)c(O)c1
2565,CC#CC#CCc1ccccc1
2568,COc1cc(C(=O)O)ccc1O
2570,CC=CC=CC(=O)c1ccccc1
2574,O=C(O)C=Cc1ccc(O)c(O)c1
2585,COC(=O)C=Cc1ccc(O)c(OC)c1
2591,CC(C)=CCCC(C)c1ccc(C)c(O)c1
2595,COc1cc(C=CC(=O)O)cc(OC)c1O
2845,CNC(C)Cc1ccccc1
2846,Cc1ccc(C(C)C)c(O)c1
2871,[2H]c1c(C(=O)OCC(O)C(O)C(O)C(O)C(=O)CO)cc(O)c(O)c1O
333,C=C1C(=O)OC2C=C(C)CCC=C(C)CCC12
2135,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C
884,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1
2362,Clc1ccccc1CN1CCc2sccc2C1
2806,OCC1=CC(O)C2(OC3OC(CO)C(O)C(O)C3O)C=COC(OC3OC(CO)C(O)C(O)C3O)C12
2128,COc1ccc2c(c1)c(CC(=O)OCC(C(=O)O)c1ccccc1)c(C)n2C(=O)c1ccc(Cl)cc1
440,COc1cc(C(=O)OCC23OC2C(O)C2C=COC(OC4OC(CO)C(O)C(O)C4O)C23)ccc1O
1646,C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21
1606,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1
1519,Cc1nnc2n1-c1sc(Br)cc1C(c1ccccc1Cl)=NC2
1387,O=C(O)c1cc(=O)c2cc(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)ccc2o1
1806,Cc1cccc(C)c1NC(=O)CN1CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1
451,O=C(O)C1=CC(=CC=[N+]2c3cc(O)c(OC4OC(CO)C(O)C(O)C4O)cc3CC2C(=O)[O-])CC(C(=O)O)N1
2776,C=C1CCC2C(C)(COC3OC(CO)C(O)C(O)C3O)CCCC2(C)C1CCC1=CCOC1=O
776,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1
814,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1
997,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1
998,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1
999,CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C
2121,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1
2123,CC(C)(C)CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C
326,C=C1CCC=C(C)CCC2C1CC2(C)C
127,CC(=O)Nc1nnc(S(N)(=O)=O)s1
983,Oc1ccc(C2CNCCc3c2cc(O)c(O)c3Cl)cc1
1262,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
272,Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1
827,CCCCCOC(=O)Nc1nc(=O)n(C2OC(C)C(O)C2O)cc1F
877,C[N+](C)(C)CCOP(=O)([O-])OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O
2152,Nc1ccn(C2CCC(CO)O2)c(=O)n1
2216,C[N+](C)(C)CCOP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
2469,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1
1636,CC(C)(Oc1ccc(Cl)cc1)C(=O)Oc1ccc(Cl)cc1
1808,CN1CCC(OC(=O)C(Oc2ccc(Cl)cc2)Oc2ccc(Cl)cc2)CC1
2886,N=C(N)NCCN1CCCCCCC1
337,C=C1C(=O)OC2C1CCC(C)=CCCC1(C)OC21
1503,COc1ccc(CCNCC(O)COc2cccc(C)c2)cc1OC
110,CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1
2151,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12
408,COC(=O)c1cc(OC)c2c(c1-c1c(C(=O)OC)cc(OC)c3c1OCO3)OCO2
2872,COc1cc(C2c3cc(O)c(OC)cc3C=C(C(C)=O)C2CO)ccc1O
1185,COc1cc(Br)c(C[N+]2(CCOCCC3CCC4CC3C4(C)C)CCOCC2)cc1OC
2486,Cc1ccc(-n2[nH]c(C)c(N=Nc3cccc(-c4cccc(C(=O)O)c4)c3O)c2=O)cc1C
1879,CCCCC1C(=O)NN(c2ccccc2)C1=O
551,CC=C1CC(C)C(C)(OC(C)=O)C(=O)OCc2ccn3c2C(CC3=O)OC1=O
501,CC=C(C)C(=O)OC1CC(OC(=O)C=Cc2ccccc2)C2(C(=O)OC)COC3C2C12COC(O)(C(=O)OC)C2C(C)(C12OC1(C)C1CC2OC2OC=CC21O)C3O
2660,COc1c(O)cc2c(c1O)C1OC(CO)C(O)C(O)C1OC2=O
29,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1
810,Nc1nc(=O)c(Br)c(-c2ccccc2)[nH]1
265,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
1523,CCCCC(C(=O)O)C(=O)N(Nc1ccccc1)c1ccccc1
1275,CC(C)(C)NCC(O)COc1cccc2c1SCCC2
479,O=C(C=Cc1ccc(O)c2c1C(C(=O)OC(Cc1ccc(O)c(O)c1)C(=O)O)C(c1ccc(O)c(O)c1)O2)OC(Cc1ccc(O)c(O)c1)C(=O)O
2852,COc1cc(C(O)C(CO)Oc2ccc(C=CC(=O)OC3OC(Oc4ccc5ccc(=O)oc5c4)C(O)C(O)C3O)cc2OC)ccc1O
214,CN(CCCCCCCCCCN(C)C(=O)Oc1cccc([N+](C)(C)C)c1)C(=O)Oc1cccc([N+](C)(C)C)c1
933,c1cc[n+]2c(c1)-c1cccc[n+]1CC2
1607,C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC
106,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1
